식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),포화지방산(g),트랜스지방산(g)
옥수수_찐옥수수,185,34.2,6.68,2.42,0.29,0.0
족발,233,0.93,26.04,13.91,4.66,0.06
코다리찜,94,6.08,14.49,1.35,0.31,0.01
콩나물찜_해물,56,4.97,6.67,1.01,0.21,0.0
풋고추찜,51,8.27,2.31,0.99,0.14,0.0
가자미구이,123,0.66,18.7,5.02,0.82,0.1
갈비구이_쇠고기,241,1.59,25.91,14.55,5.62,0.6
갈치구이_기름,138,0.6,21.54,5.48,1.31,0.05
고등어구이_석쇠,340,3.79,23.38,25.69,6.95,0.33
곱창구이_쇠고기,184,4.71,14.89,11.73,4.11,0.31
김구이_조미김,470,29.0,20.4,30.2,3.0,0.2
꼬치구이_닭고기_대파,245,10.35,17.85,14.7,4.16,0.13
닭구이,257,7.8,26.21,13.39,3.75,0.05
닭발구이,196,9.7,18.15,9.41,2.58,0.06
떡갈비,202,2.46,21.38,11.82,4.29,0.42
런천미트구이,303,3.27,17.56,24.38,9.01,0.16
뱅어포구이,374,25.07,34.37,15.17,3.0,0.11
버섯구이,52,4.78,5.16,1.38,0.41,0.01
버섯구이_새송이,84,11.66,4.29,2.21,0.28,0.01
버섯구이표고버섯,100,18.14,4.34,1.06,0.65,0.04
불고기_쇠고기,170,4.26,16.41,9.66,3.26,0.2
불고기_오리,145,9.05,6.75,9.05,2.04,0.05
삼겹살구이,467,0.35,22.56,41.69,12.42,0.34
삼겹살구이_고추장,403,12.63,14.21,32.83,13.1,0.29
삼치구이,178,1.45,21.42,9.57,2.02,0.07
새우구이,145,2.82,23.41,4.44,0.74,0.05
스테이크_소등심,194,0.14,30.22,8.07,3.85,0.35
스테이크_소안심,183,0.13,34.82,4.83,0.22,0.0
오리고기구이,293,4.89,24.06,19.7,4.82,0.09
애호박전,122,6.73,4.35,8.62,1.33,0.08
장어구이_고추장,259,6.18,19.82,17.21,4.68,0.34
조개구이_키조개,130,10.44,17.43,2.07,0.09,0.0
조기구이,177,0.44,19.33,10.86,3.08,0.12
참치구이_머리,193,1.4,26.56,8.98,2.76,0.08
치킨데리야끼,208,15.21,16.54,9.01,2.59,0.06
함박스테이크,174,7.19,12.1,10.73,3.3,0.13
가지전,123,8.88,5.48,7.28,1.8,0.1
감자전,133,16.79,1.72,6.54,0.89,0.05
고구마전,227,35.99,2.92,7.98,1.19,0.06
김치전,134,19.01,5.05,4.2,0.87,0.04
달걀말이,193,1.45,17.21,13.21,3.33,0.08
달걀부침(달걀후라이),208,5.15,15.73,13.78,3.72,0.1
달걀부침(달걀후라이)_햄,277,8.06,12.71,21.59,6.65,0.21
두부부침,140,2.07,10.92,9.77,1.45,0.03
맛살전,165,19.69,7.48,6.24,1.21,0.06
메밀전,161,34.79,4.02,0.64,0.26,0.0
버섯전_표고버섯,181,12.74,10.13,9.98,2.18,0.19
부추전,167,27.86,4.63,4.17,0.8,0.05
산적_돼지고기,200,1.55,29.06,8.56,2.41,0.05
스크램블드에그,216,2.56,11.81,17.59,3.2,0.07
완자전_돼지고기,139,6.51,14.78,5.95,1.77,0.05
완자전_쇠고기,162,4.68,18.73,7.56,1.61,0.1
완자전_참치,173,13.57,15.0,6.49,1.5,0.08
완자전_해물,222,18.04,11.46,11.61,3.43,0.17
채소전,145,22.59,3.57,4.5,0.89,0.06
파전_해물,171,18.29,5.5,8.4,1.04,0.03
감자볶음,100,12.41,1.75,4.84,0.63,0.03
감자볶음_채소,108,13.1,2.04,5.22,0.69,0.05
건새우볶음,304,5.4,41.55,12.95,1.75,0.1
곱창볶음_돼지고기,130,18.52,7.23,3.0,1.05,0.01
김치볶음,106,7.27,1.38,7.94,0.87,0.08
김치볶음_참치,122,7.12,8.33,6.68,0.64,0.11
낙지볶음,91,8.6,5.77,3.77,0.44,0.02
닭발볶음,186,11.72,13.8,9.38,2.2,0.1
닭볶음,186,7.93,13.98,10.96,1.92,0.07
닭볶음_닭가슴살_피망,122,1.38,16.39,5.65,0.65,0.03
당근볶음,95,7.79,0.93,6.63,1.1,0.01
돼지고기볶음_김치,161,5.93,11.81,10.05,2.99,0.06
돼지고기볶음_채소,169,8.63,16.57,7.59,2.58,0.03
돼지고기볶음(제육볶음),195,4.73,12.15,14.19,4.18,0.06
국밥_돼지고기,76,6.23,5.53,3.22,0.7,0.02
떡볶이,144,25.96,3.51,2.96,0.28,0.01
떡볶이_채소,258,57.06,3.12,1.88,0.39,0.02
라볶이,134,20.14,2.83,4.71,1.47,0.03
마늘쫑볶음,89,13.17,3.25,2.54,0.37,0.01
마늘쫑볶음_멸치,117,15.42,7.54,2.78,0.42,0.02
마파두부,109,5.36,7.29,6.48,1.04,0.03
멸치볶음,276,13.62,39.44,7.08,1.28,0.04
멸치볶음_견과류,414,18.36,30.4,24.32,3.04,0.02
멸치볶음_꽈리고추,253,7.96,23.62,14.08,0.16,0.0
멸치볶음_마늘쫑,277,12.42,32.4,10.84,1.9,0.06
멸치볶음_풋고추,190,13.3,20.62,6.0,1.3,0.04
문어볶음_고추장,88,8.62,10.97,1.02,0.22,0.01
미역줄기볶음,77,4.85,0.96,5.95,0.89,0.04
버섯볶음_느타리,94,6.78,2.8,6.2,0.8,0.04
버섯볶음_새송이,121,9.29,2.95,8.03,1.51,0.08
브로콜리볶음,51,5.53,4.42,1.28,0.22,0.0
삼겹살볶음_묵은지,151,8.4,5.76,10.49,3.36,0.13
새우볶음,83,5.96,9.91,2.21,0.38,0.03
소시지볶음,280,14.41,11.94,19.38,5.8,0.09
쇠고기볶음_고추장,197,10.7,14.36,10.79,4.28,0.1
쇠고기볶음_버섯,144,6.92,11.59,7.73,2.57,0.06
쇠고기볶음_채소,126,6.44,12.8,5.4,2.17,0.05
애호박볶음,59,5.3,1.32,3.62,0.44,0.04
양파볶음,56,9.51,0.99,1.54,0.11,0.01
어묵볶음,197,24.33,8.41,7.29,1.32,0.05
어묵볶음_채소,152,17.2,6.33,6.41,1.0,0.07
오징어볶음,128,7.43,9.85,6.52,1.0,0.04
유산슬,86,4.1,7.54,4.4,0.78,0.03
잔멸치볶음_견과류,388,22.64,24.34,22.22,2.54,0.04
잔멸치볶음_꽈리고추,293,9.24,24.78,17.48,2.74,0.12
잔멸치볶음_풋고추,256,16.94,28.24,8.32,1.56,0.06
잔멸치볶음_홍고추_풋고추,228,5.72,33.28,8.0,1.42,0.06
잡채,146,24.26,4.71,3.3,0.55,0.07
잡채_어묵,148,26.13,2.34,3.78,0.64,0.03
잡채_콩나물,67,12.55,1.93,0.97,0.12,0.22
죽순볶음_쇠고기,120,3.78,13.68,5.59,2.12,0.13
팔보채,90,3.42,12.42,2.9,0.39,0.02
풋고추볶음,70,8.25,1.93,3.23,0.58,0.03
햄볶음_채소,183,9.6,10.47,11.37,3.6,0.08
감자조림,114,18.1,2.4,3.52,0.42,0.02
고등어조림,141,4.1,11.25,8.84,2.14,0.05
꽁치조림,244,5.14,15.52,17.87,3.52,2.48
닭볶음탕,111,8.52,11.91,3.22,1.19,0.03
닭조림,197,6.57,18.03,10.9,2.73,0.07
닭조림_고추장,152,13.25,9.12,6.94,2.05,0.04
두부조림,143,4.4,9.64,9.66,1.36,0.02
땅콩조림,483,19.95,18.75,36.4,5.8,0.05
멸치조림,318,8.93,40.92,13.22,2.27,0.09
무조림,48,4.29,2.26,2.38,0.35,0.04
미트볼조림,221,12.95,18.15,10.73,2.12,0.08
버섯조림,60,6.23,4.38,2.0,1.47,0.06
병어조림,112,4.87,12.46,4.78,2.07,0.12
삼치조림,125,2.61,15.88,5.63,1.64,0.04
양미리조림,65,9.09,5.76,0.66,0.29,0.01
어묵조림,159,23.16,5.83,4.73,0.81,0.05
연근조림,174,29.42,2.68,5.1,0.64,0.02
오징어조림,137,12.45,16.55,2.37,0.63,0.01
오징어채조림,240,25.36,23.52,4.9,0.82,0.02
우엉조림,188,34.8,4.8,3.33,0.53,0.07
장조림_달걀,138,8.67,9.85,7.12,2.07,0.03
장조림_메추리알,203,6.3,14.25,13.41,4.18,0.08
장조림_쇠고기,69,4.84,10.41,0.86,0.43,0.03
장조림_쇠고기_메추리알,157,15.56,11.69,5.39,1.63,0.06
쥐포조림,276,36.12,13.03,8.86,1.3,0.04
코다리조림,86,4.16,16.46,0.4,0.17,0.02
콩조림(콩자반),281,34.83,17.97,7.73,0.67,0.0
감자튀김,312,35.15,4.55,17.01,3.29,0.07
김튀김,522,54.36,11.0,28.9,5.36,0.2
다시마튀각,462,47.32,8.44,26.52,4.08,0.32
닭다리튀김_간장,323,17.88,18.86,19.6,4.78,0.17
닭튀김_날개,257,10.49,17.17,16.27,3.91,0.13
떡강정,249,47.89,3.79,4.72,0.96,0.05
미역튀각,443,21.14,13.24,33.9,5.42,0.48
탕수육_새우,116,13.02,6.65,4.2,0.71,0.07
가지나물무침,36,4.18,1.42,1.5,0.22,0.0
고구마줄기나물무침,83,4.1,0.98,7.0,1.16,0.16
고사리나물무침,90,6.28,3.78,5.52,0.7,0.02
고춧잎나물무침,88,7.14,4.41,4.69,0.74,0.09
깻잎나물무침,78,5.04,2.68,5.18,0.64,0.1
냉이나물무침,111,15.7,5.02,3.07,0.48,0.03
도라지나물무침,130,13.12,2.48,7.52,1.0,0.04
돌나물무침,69,8.3,1.66,3.18,0.5,0.06
머위대나물무침,58,4.76,3.96,2.56,0.32,0.02
무나물무침,21,3.64,0.62,0.46,0.04,0.0
방풍나물무침,76,10.74,4.39,1.73,0.23,0.0
배추나물무침,61,8.45,2.01,2.19,0.29,0.03
비름나물무침,73,5.7,3.46,4.05,0.63,0.1
숙주나물무침,35,2.96,2.22,1.58,0.12,0.0
시금치나물무침,69,3.36,3.74,4.46,0.4,0.12
시래기나물무침,114,7.74,4.32,7.28,0.9,0.02
씀바귀나물무침,97,16.57,3.87,1.73,0.36,0.08
열무나물무침,82,4.76,3.91,5.3,0.66,0.18
열무나물무침_된장,68,4.09,3.71,4.09,0.52,0.12
유채나물무침,96,7.82,5.8,4.6,0.59,0.04
참나물무침,60,4.14,2.51,3.69,0.58,0.01
취나물_된장,44,4.12,3.08,1.66,0.19,0.01
취나물무침_취나물(마른것),89,6.4,3.62,5.4,0.56,0.02
콩나물무침,69,3.2,3.86,4.54,0.48,0.0
콩나물무침_고춧가루,93,5.93,3.93,5.93,0.83,0.01
토란대나물무침,68,4.22,5.14,3.38,0.46,0.02
호박오가리나물무침,201,21.46,6.14,10.01,1.65,0.13
가죽나물무침,76,10.05,5.83,1.35,0.19,0.01
겉절이_배추,55,6.58,2.28,2.14,0.42,0.06
겉절이_상추,61,5.26,2.36,3.41,0.38,0.02
겉절이_열무,58,5.38,2.4,2.94,0.46,0.08
겉절이_치커리,56,4.4,1.49,3.65,0.42,0.11
골뱅이무침_소면,109,18.91,5.01,1.47,0.18,0.0
굴무침,77,7.3,6.68,2.31,0.61,0.03
김무침,259,19.33,21.17,10.73,1.53,0.07
낙지무침,77,3.96,12.41,1.24,0.17,0.0
냉채_닭고기,90,5.0,13.08,1.95,0.5,0.01
다시마무침,48,6.8,2.57,1.18,0.28,0.0
달래무침,63,6.07,2.92,3.02,0.4,0.02
도라지생채,77,16.15,2.06,0.51,0.13,0.0
두릅무침_초고추장,67,7.89,2.16,3.01,0.42,0.0
마늘쫑무침,106,12.77,2.73,4.93,0.63,0.03
만두_월남쌈,118,12.25,5.94,4.97,2.13,0.02
무말랭이무침,121,22.5,4.2,1.55,1.25,0.05
무생채,49,7.33,2.43,1.11,0.16,0.02
무생채_굴,50,5.92,3.68,1.26,0.19,0.01
묵무침_도토리묵,74,10.92,0.93,2.95,0.38,0.01
물회_오징어,49,3.26,6.19,1.2,0.19,0.0
미나리무침,46,5.41,1.31,2.13,0.3,0.01
시루떡,224,48.13,3.77,1.85,0.11,0.0
미역초무침,35,5.24,1.18,1.02,0.16,0.0
민들레잎무침,81,12.32,2.69,2.33,0.21,0.01
버섯무침_느타리버섯,59,3.44,2.74,3.77,0.46,0.01
부추무침,92,6.25,3.5,5.92,0.79,0.02
부추무침_양파,44,6.81,1.83,1.07,0.19,0.02
북어채무침,188,12.05,28.4,2.91,0.51,0.02
샐러드_감자,126,12.25,1.31,7.99,1.36,0.06
샐러드_단호박,162,18.77,1.48,8.97,1.35,0.05
샐러드_닭가슴살,135,5.36,7.17,9.49,1.21,0.03
샐러드_새싹,74,4.96,2.77,4.81,0.62,0.02
샐러드_양배추,150,8.47,2.69,11.71,1.79,0.05
샐러드_양상추,126,3.42,4.91,10.3,1.31,0.05
샐러드_옥수수,166,12.68,1.96,11.94,1.88,0.09
샐러드_참치,151,7.52,10.82,8.65,1.47,0.05
샐러드_채소,145,5.1,1.16,13.35,2.11,0.06
양장피,133,10.95,7.3,6.63,1.21,0.03
오이무침_부추,31,5.01,1.95,0.39,0.08,0.0
오이생채,69,8.96,1.78,2.9,0.14,0.0
오이지무침,52,4.21,0.96,3.51,0.41,0.01
오징어무침_채소,62,7.6,5.85,0.93,0.14,0.0
오징어채무침,258,28.41,23.6,5.53,0.99,0.03
톳나물무침,75,12.28,1.87,2.09,0.3,0.01
파래무침,49,4.97,3.53,1.7,0.2,0.03
파무침,71,9.08,2.25,2.81,0.31,0.01
풋고추된장무침_풋고추,124,12.0,2.37,7.35,1.07,0.04
풋마늘무침,71,11.27,4.14,1.04,0.11,0.01
피조개무침,52,6.07,4.71,0.95,0.18,0.01
해초무침,39,8.52,0.95,0.16,0.06,0.0
회무침,82,8.6,8.09,1.65,0.52,0.03
회무침_가오리,81,6.35,11.33,1.16,0.2,0.0
고들빼기김치,71,11.52,3.0,1.38,0.14,0.0
깍두기,33,4.24,1.56,1.06,0.04,0.0
깻잎김치,62,8.92,2.82,1.72,0.08,0.0
나박김치,10,1.15,0.46,0.38,0.02,0.0
동치미,14,2.28,0.29,0.37,0.01,0.0
물김치_돌나물,5,0.75,0.31,0.08,0.01,0.0
보쌈김치,30,3.73,2.19,0.72,0.04,0.0
부추김치,47,6.36,2.68,1.16,0.1,0.0
얼갈이배추김치,63,10.94,1.59,1.45,0.05,0.0
오이김치,38,5.64,2.06,0.8,0.11,0.0
가자미식해,134,11.64,11.09,4.81,0.7,0.03
갈치젓_양념,149,10.28,15.53,5.08,1.87,0.03
꽃게장_간장,62,6.04,7.02,1.1,0.16,0.0
꽃게장_양념(고추가루),97,12.61,10.23,0.61,0.24,0.01
단무지,13,2.4,0.33,0.2,0.03,0.0
