식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),포화지방산(g),트랜스지방산(g)
고등어찌개,100,4.27,8.15,5.62,1.18,0.05
곱창전골_쇠고기,88,4.87,6.93,4.55,1.38,0.08
김치찌개,61,2.98,3.77,3.75,0.69,0.01
김치찌개_햄,63,4.23,3.7,3.47,1.23,0.03
꽁치찌개,118,4.07,8.0,7.77,1.63,0.97
두부전골,63,3.42,5.12,3.22,0.48,0.0
두부찌개_새우젓,55,2.4,5.4,2.7,0.53,0.0
매운탕_메기,67,8.1,4.77,1.7,0.48,0.03
매운탕_우럭,68,1.87,8.69,2.84,0.5,0.01
버섯찌개,42,3.85,3.68,1.3,0.33,0.03
부대찌개,67,6.62,3.07,3.1,0.9,0.02
샤브샤브_쇠고기,44,2.45,4.85,1.63,0.62,0.05
오리백숙_한방,157,1.12,22.93,6.7,2.13,0.05
청국장찌개,68,2.6,5.6,3.9,0.0,0.0
추어탕,32,2.68,2.27,1.32,0.19,0.0
호박찌개,32,4.07,1.87,0.87,0.13,0.0
갈비찜_고춧가루,172,7.9,20.43,6.57,2.67,0.17
갈비찜_쇠고기,198,5.26,19.94,10.78,4.13,0.43
꼬막찜_참꼬막,113,5.74,15.59,3.13,0.47,0.02
달걀_수란_중탕,145,0.2,12.3,11.7,3.21,0.0
닭찜_안동찜닭,91,9.3,7.61,2.59,0.69,0.01
대구찜,75,4.94,10.34,1.58,0.22,0.0
도미찜,126,0.54,23.0,3.48,0.91,0.02
동태찜,79,5.16,10.18,1.94,0.32,0.02
돼지고기_머리고기,325,1.75,21.2,26.0,7.6,0.2
돼지등갈비찜,214,12.76,16.02,10.93,3.58,0.07
병어찜,180,0.16,18.86,11.51,3.59,0.06
북어찜,157,12.0,18.73,3.8,0.6,0.07
붕어찜,76,6.51,4.94,3.35,0.53,0.03
숙회_문어,84,0.91,18.58,0.63,0.15,0.0
순대,181,19.45,6.52,8.55,2.43,0.04
아귀찜,78,4.37,12.08,1.33,0.21,0.01
오징어순대,133,16.66,13.06,1.6,0.4,0.0
전어찜,278,0.6,17.28,22.97,6.8,0.13
조기찜,182,1.64,20.06,10.59,2.85,0.08
족발,220,0.0,28.91,11.65,3.77,0.04
해물찜,80,7.08,8.52,1.96,0.3,0.0
갈비구이_쇠고기_양념,330,8.73,20.03,23.87,9.07,1.17
갈비구이_왕갈비_양념,321,9.13,18.07,23.53,8.67,1.47
곰장어구이_짚불,163,1.15,21.35,8.1,1.4,0.05
꼬치구이_닭고기,252,19.07,16.52,12.24,3.31,0.06
닭튀김(치킨)_양념,276,21.15,17.75,13.4,2.7,0.1
더덕구이,184,31.1,3.1,5.2,0.8,0.0
도미구이,159,0.84,24.44,6.6,1.52,0.04
돼지갈비,240,8.1,19.5,14.4,4.7,0.1
불고기_꿩,74,7.94,6.7,1.7,0.38,0.02
불고기_삼겹살_오징어,182,10.25,12.8,9.95,2.6,0.05
임연수구이,198,1.4,21.52,11.76,2.44,0.68
장어구이_붕장어_소금,297,11.6,26.0,16.2,3.6,0.2
장어구이_양념,289,5.87,20.51,20.37,4.74,0.18
햄버그스테이크,229,10.38,13.48,14.82,4.7,0.16
황태구이,219,13.45,23.9,7.7,1.2,0.05
훈제오리,319,4.83,17.22,25.63,6.39,0.16
고추전,183,11.34,8.61,11.48,2.35,0.06
굴전,195,14.5,10.6,10.5,2.1,0.1
깻잎전,241,9.7,11.82,17.18,3.62,0.1
꼬치구치_낙지,94,3.53,16.43,1.59,0.17,0.01
녹두빈대떡,208,20.93,7.94,10.27,2.26,0.06
두부전,170,5.0,13.64,10.58,1.34,0.03
미나리전,151,22.82,3.49,5.08,0.82,0.04
배추전,160,23.68,3.44,5.78,0.92,0.05
버섯전,160,10.8,7.02,9.91,1.53,0.04
생선전_가자미,154,4.61,17.17,7.38,1.5,0.04
생성전_동태,179,7.02,15.09,10.03,2.11,0.06
소라산적,150,8.06,22.4,3.14,0.47,0.02
쇠고기산적,227,3.67,24.2,12.78,3.53,0.44
스크램블에그,149,1.61,9.99,10.98,3.33,0.62
오징어산적,127,4.5,21.72,2.47,0.34,0.0
완자전_쇠고기(동그랑땡/육원전),206,8.45,13.08,13.33,3.1,0.08
채소전,194,21.6,5.4,9.5,2.1,0.1
파전,195,23.2,4.56,9.35,1.51,0.05
햄부침,244,11.3,11.3,17.1,4.4,0.1
호박부침개,129,10.1,3.9,8.1,1.7,0.1
호박전,139,10.73,4.32,8.73,1.56,0.04
홍합산적,196,13.22,22.23,6.0,1.04,0.05
화양적,182,14.23,9.05,9.85,2.55,0.06
곱창볶음_돼지껍데기,235,16.33,17.2,11.13,3.27,0.07
난자완스,173,9.57,10.81,10.17,2.3,0.12
닭갈비,149,11.23,11.48,6.45,1.5,0.05
돼지고기볶음,175,9.11,11.48,10.33,2.56,0.08
두부김치,115,5.63,7.79,6.85,1.27,0.03
머위나물볶음,72,5.07,2.33,4.67,0.53,0.0
멸치볶음_풋고추,262,17.03,23.25,11.2,1.97,0.12
버섯볶음_양송이,91,7.33,3.0,5.53,0.93,0.0
버섯볶음_표고버섯,95,10.53,3.0,4.47,0.53,0.0
소시지볶음,236,15.9,9.4,14.95,4.4,0.1
순대볶음,146,19.18,5.18,5.33,1.28,0.03
잡채_고추,128,13.09,5.5,6.01,1.05,0.04
주꾸미볶음,106,11.41,9.16,2.6,0.3,0.01
해물볶음,105,8.05,9.55,3.83,0.53,0.03
가자미조림,99,7.17,12.37,2.37,0.43,0.03
고추조림,111,13.4,3.3,4.9,0.7,0.0
동태조림,110,6.96,16.32,1.88,0.44,0.08
북어조림,182,17.14,20.83,3.33,0.67,0.05
연근조림,261,60.2,2.1,1.3,0.0,0.0
장조림_돼지고기_메추리알,127,6.74,16.67,3.7,0.88,0.01
장조림_쇠고기_메추리알,121,5.77,16.27,3.68,0.9,0.03
장조림_우엉,149,34.37,2.1,0.3,0.05,0.0
조기조림,128,4.27,13.7,6.27,1.67,0.03
콩조림(콩자반),271,39.1,19.3,4.2,0.0,0.0
고구마맛탕,246,47.3,1.65,5.5,0.95,0.0
고구마튀김,253,33.8,2.72,11.87,1.74,0.05
고추튀김,202,14.6,7.6,12.6,2.7,0.1
김말이튀김,251,32.1,2.4,12.5,0.0,0.0
깐풍기,295,18.9,13.1,18.5,0.0,0.0
닭모래집튀김,312,19.4,18.73,17.73,2.73,0.13
닭튀김,301,16.27,21.73,16.57,4.33,0.13
닭튀김_다리(넓적다리),277,9.08,21.61,16.53,4.41,0.0
닭튀김_다리(아랫다리),268,8.28,21.95,15.75,4.14,0.0
닭튀김_닭가슴살,252,20.2,21.0,9.7,0.0,0.0
닭튀김_목,330,8.7,19.82,23.52,6.22,0.0
닭튀김_살코기,289,9.42,22.54,17.35,4.61,0.0
돈가스_돼지등심,312,19.24,16.5,18.77,4.56,0.13
돈가스_돼지안심,326,17.13,16.64,21.2,4.27,0.12
돈가스_치즈,302,16.71,16.81,18.68,5.44,0.18
라조기,199,13.12,10.33,11.75,2.57,0.08
미꾸라지튀김,387,28.85,10.89,25.39,3.89,0.15
생선가스,327,23.28,12.17,20.55,3.98,0.12
양파링튀김,411,43.58,3.86,25.23,4.19,0.16
쥐포튀김,357,42.5,9.62,16.49,2.29,0.1
채소튀김,321,37.6,3.6,17.3,0.0,0.0
치킨가스,296,22.01,13.96,16.96,4.21,0.13
탕수육,228,25.9,8.7,10.0,0.0,0.0
깻잎나물볶음,103,5.75,3.75,7.2,0.85,0.05
달래무침,91,15.87,2.67,1.87,0.2,0.0
미나리나물,59,4.48,2.03,3.67,0.5,0.02
우거지나물무침,86,5.8,3.0,5.67,0.67,0.07
취나물무침,148,6.61,2.75,12.31,1.68,0.05
골뱅이무침,109,15.69,7.08,1.97,0.26,0.02
냉채_해파리,61,8.93,4.13,0.93,0.2,0.0
노각무침,56,9.53,1.73,1.2,0.13,0.0
단무지무침,40,5.6,1.0,1.6,0.2,0.0
더덕무침,144,28.93,2.87,1.87,0.27,0.0
무말랭이무침,131,29.24,2.25,0.61,0.14,0.0
묵무침_도토리묵,46,10.38,0.29,0.32,0.03,0.0
묵무침_청포묵,60,9.08,1.16,2.08,0.32,0.0
밴댕이무침,150,11.5,7.45,8.25,1.15,0.05
샐러드_양배추_코올슬로,153,14.89,0.95,9.91,1.6,0.04
쑥갓나물무침,64,4.4,3.0,3.8,0.47,0.0
탕평채,97,12.26,3.55,3.81,0.73,0.03
홍어무침,99,12.98,8.93,1.32,0.18,0.0
회무침_서대,105,15.3,7.53,1.53,0.17,0.0
갓김치,37,7.07,3.26,0.4,0.08,0.01
고들빼기,111,21.87,3.16,1.22,0.14,0.0
배추김치,38,6.24,1.97,0.57,0.09,0.0
배추김치_가을재배,37,6.1,1.85,0.54,0.09,0.0
배추김치_봄재배,39,5.95,2.22,0.67,0.11,0.0
배추김치_여름재배,38,6.56,1.84,0.49,0.08,0.0
백김치,16,3.0,0.95,0.07,0.01,0.01
얼갈이배추김치,30,4.37,1.88,0.58,0.09,0.0
열무김치,32,4.99,2.4,0.29,0.06,0.0
열무물김치,18,2.91,1.41,0.07,0.02,0.0
열무얼갈이김치,35,5.22,2.15,0.66,0.08,0.0
오이소박이,37,6.66,1.76,0.37,0.08,0.0
유채김치,62,10.1,3.5,0.8,0.0,0.0
유해물김치,17,3.0,1.0,0.1,0.0,0.0
총각김치,41,7.89,2.02,0.2,0.05,0.0
파김치,49,8.51,2.5,0.58,0.11,0.0
고추장아찌,124,31.49,2.39,0.63,0.11,0.0
들깻잎장아찌,124,26.0,4.03,0.42,0.06,0.0
마늘장아찌,113,25.36,2.43,0.16,0.04,0.0
마늘종장아찌,118,27.34,1.96,0.14,0.04,0.0
마늘쫑장아찌_간장,60,10.8,2.0,1.0,0.0,0.0
마늘쫑장아찌_고추장,110,21.0,2.6,1.8,0.2,0.0
매실장아찌,243,58.11,1.65,0.43,0.08,0.0
무장아찌,80,16.76,1.47,0.76,0.04,0.0
식혜,87,16.21,1.53,1.75,0.04,0.0
액상커피_커피가루_설탕_크림(중량12g),51,10.06,0.43,1.03,0.96,0.0
액상커피_커피가루_설탕(중량2.7g),17,3.98,0.18,0.0,0.0,0.0
액상커피_커피가루(중량1g),4,0.7,0.2,0.01,0.0,0.0
가래흑미,205,47.8,3.5,0.0,0.0,0.0
개피떡(바람떡),207,45.6,4.3,0.8,0.0,0.0
개피떡(바람떡)_쑥,206,45.2,4.5,0.8,0.0,0.0
경단_깨,319,74.22,4.44,0.54,0.46,0.0
경단_찹쌀_카스텔라,237,51.1,4.1,1.8,0.0,0.0
경단_콩,314,74.03,3.51,0.46,0.19,0.0
기피편,220,48.99,5.45,0.25,0.13,0.0
모싯잎송편_동부,190,40.29,5.65,0.66,0.24,0.0
모싯잎송편_동부(국내산),190,40.68,5.28,0.65,0.24,0.0
모싯잎송편_동부(수입산),190,39.9,6.03,0.67,0.24,0.0
무지개떡,229,53.01,3.53,0.31,0.16,0.0
백설기_검정콩,229,48.31,5.75,1.46,0.31,0.0
빙떡(메밀전병),168,21.62,6.18,6.29,1.19,0.04
송편_검정콩,200,41.2,6.9,0.8,0.0,0.0
송편_깨,224,44.96,4.92,2.74,0.48,0.0
송편_콩,194,41.66,5.24,0.75,0.24,0.0
송편_팥,200,43.6,5.4,0.4,0.0,0.0
수수경단,218,43.1,8.2,1.4,0.0,0.0
수수부꾸미,248,42.1,5.73,6.29,0.97,0.03
수수팥떡,204,43.03,6.7,0.59,0.16,0.0
시루녹두,246,48.08,7.74,2.53,0.52,0.0
시루팥,217,47.54,5.47,0.61,0.24,0.0
쑥떡,249,57.89,3.36,0.4,0.2,0.0
인절미_콩고물,231,49.69,5.52,1.15,0.23,0.01
인절미_팥고물,204,44.8,4.2,0.9,0.0,0.0
절편,193,43.94,3.64,0.28,0.19,0.0
찰시루떡,181,37.63,6.63,0.41,0.13,0.0
찹쌀떡,277,65.61,3.26,0.15,0.15,0.0
대구포,141,2.33,31.97,0.4,0.17,0.0
물회,76,7.9,4.91,2.7,0.4,0.01
물회_생선,72,10.31,4.29,1.54,0.25,0.0
북어포,332,1.59,77.11,1.95,0.66,0.0
